net,length_um
_0376_,15.96
_0214_,15.9
_0646_,15.9
_0601_,15.88
_0132_,15.83
_0245_,15.6
_0354_,15.6
_0308_,15.58
_0350_,15.56
_0689_,15.38
_0652_,15.36
u_window.window_reg\[15\],15.32
_0665_,15.3
_0332_,15.28
_0499_,15.2
_0432_,15.19
_0495_,15.18
_0625_,15.18
THRESHOLD[5],15.16
_0541_,15.16
_0430_,15.12
_0419_,15.08
_0584_,15.06
_0144_,15.02
_0560_,15.02
_0130_,14.98
u_glitch.cnt\[4\],14.975
_0108_,14.96
net75,14.92
u_window.window_reg\[29\],14.88
_0520_,14.86
_0464_,14.78
_0314_,14.76
_0191_,14.74
_0342_,14.72
_0353_,14.7
_0256_,14.69
_0098_,14.675
_0042_,14.66
_0279_,14.64
_0021_,14.62
_0490_,14.6
_0104_,14.57
u_window.window_reg\[4\],14.56
_0312_,14.5
_0395_,14.46
net107,14.46
_0164_,14.44
_0550_,14.44
_0206_,14.42
_0663_,14.42
_0267_,14.38
_0621_,14.26
_0271_,14.22
_0017_,14.21
_0203_,14.18
_0225_,14.08
_0330_,14.06
_0367_,14.06
_0681_,14
net74,14
_0390_,13.98
_0635_,13.94
_0288_,13.92
_0370_,13.8
_0295_,13.76
_0227_,13.75
u_window.window_reg\[32\],13.72
_0623_,13.6
_0123_,13.58
net125,13.54
_0199_,13.49
_0140_,13.48
u_window.window_reg\[58\],13.48
net40,13.48
net48,13.46
_0472_,13.44
_0593_,13.4
_0667_,13.38
u_window.window_reg\[3\],13.38
_0208_,13.36
u_window.window_reg\[41\],13.3
u_window.window_reg\[56\],13.3
u_window.window_reg\[57\],13.3
_0299_,13.28
_0269_,13.22
_0561_,13.22
WINDOW_SIZE[6],13.18
_0185_,13.18
_0421_,13.165
_0019_,13.16
_0322_,13.12
net137,13.1
_0008_,13.08
_0570_,13.04
_0585_,13.04
_0150_,13.02
_0345_,13.02
_0486_,12.98
_0083_,12.96
_0381_,12.96
_0182_,12.94
_0080_,12.84
_0372_,12.84
_0073_,12.76
net41,12.76
_0335_,12.73
_0306_,12.72
_0391_,12.72
_0215_,12.68
_0671_,12.66
_0405_,12.64
_0285_,12.62
_0339_,12.56
_0352_,12.56
_0016_,12.54
_0406_,12.54
_0473_,12.54
_0595_,12.5
_0097_,12.46
_0577_,12.46
net6,12.46
net39,12.4
_0379_,12.3
_0048_,12.28
_0666_,12.27
_0165_,12.26
_0672_,12.26
_0393_,12.2
_0113_,12.14
_0504_,12.12
_0535_,12.12
_0333_,12.11
_0216_,12.07
_0248_,12.06
_0118_,11.95
_0127_,11.88
_0054_,11.76
u_window.window_reg\[26\],11.7
net43,11.62
_0115_,11.58
u_window.window_reg\[30\],11.58
_0386_,11.56
_0387_,11.54
_0319_,11.52
_0532_,11.46
net24,11.44
_0047_,11.4
u_edge.signal_in,11.32
_0488_,11.26
_0364_,11.255
_0351_,11.24
WINDOW_SIZE[3],11.22
_0168_,11.22
_0592_,11.2
_0493_,11.16
u_window.window_reg\[31\],11.14
_0275_,11.02
_0170_,11
_0237_,11
_0479_,10.98
_0125_,10.96
_0254_,10.9
STABLE_CYCLES[2],10.88
u_window.window_reg\[20\],10.86
_0105_,10.82
_0399_,10.82
_0515_,10.82
_0517_,10.82
_0442_,10.8
_0029_,10.78
STABLE_CYCLES[0],10.76
WINDOW_SIZE[0],10.76
_0450_,10.74
_0278_,10.73
_0160_,10.72
_0238_,10.72
_0124_,10.605
_0018_,10.54
_0149_,10.54
_0210_,10.54
_0321_,10.5
_0538_,10.5
_0568_,10.36
_0573_,10.34
_0684_,10.32
_0343_,10.28
_0477_,10.28
_0207_,10.24
_0609_,10.24
_0362_,10.2
_0369_,10.18
_0500_,10.18
_0516_,10.16
u_window.window_reg\[44\],10.16
_0259_,10.14
_0574_,10.12
_0481_,10.08
u_window.window_reg\[38\],10.08
_0423_,10.06
u_window.window_reg\[63\],10.06
_0459_,10.04
_0111_,9.94
_0309_,9.94
_0553_,9.94
_0558_,9.94
_0641_,9.94
u_window.window_reg\[24\],9.94
_0649_,9.93
_0583_,9.92
u_window.window_reg\[11\],9.92
_0355_,9.9
net36,9.9
_0404_,9.82
_0426_,9.82
_0629_,9.7
THRESHOLD[1],9.64
THRESHOLD[4],9.64
_0440_,9.62
net21,9.6
_0460_,9.58
_0686_,9.58
u_window.window_reg\[62\],9.52
net119,9.52
_0368_,9.5
net51,9.5
_0089_,9.48
net38,9.46
net13,9.44
_0038_,9.42
_0023_,9.4
u_window.window_reg\[8\],9.4
_0161_,9.38
u_window.window_reg\[16\],9.38
_0436_,9.32
